t, v
-0.009480, 1.557617
-0.009481, 1.534521
-0.009483, 1.534521
-0.009485, 1.534521
-0.009486, 1.534521
-0.009488, 1.488330
-0.009489, 1.465234
-0.009491, 1.465234
-0.009493, 1.488330
-0.009494, 1.442139
-0.009496, 1.442139
-0.009498, 1.465234
-0.009499, 1.465234
-0.009501, 1.465234
-0.009503, 1.395947
-0.009504, 1.395947
-0.009506, 1.395947
-0.009508, 1.395947
-0.009509, 1.442139
-0.009511, 1.349756
-0.009512, 1.349756
-0.009514, 1.349756
-0.009516, 1.349756
-0.009517, 1.372852
-0.009519, 1.280469
-0.009521, 1.280469
-0.009522, 1.280469
-0.009524, 1.303564
-0.009526, 1.303564
-0.009527, 1.234277
-0.009529, 1.234277
-0.009531, 1.234277
-0.009532, 1.211182
-0.009534, 1.211182
-0.009535, 1.188086
-0.009537, 1.188086
-0.009539, 1.188086
-0.009540, 1.118799
-0.009542, 1.118799
-0.009544, 1.141895
-0.009545, 1.118799
-0.009547, 1.118799
-0.009549, 1.072607
-0.009550, 1.072607
-0.009552, 1.072607
-0.009554, 1.095703
-0.009555, 1.095703
-0.009557, 1.095703
-0.009558, 1.095703
-0.009560, 1.026416
-0.009562, 1.026416
-0.009563, 1.026416
-0.009565, 1.049512
-0.009567, 1.026416
-0.009568, 1.026416
-0.009570, 1.026416
-0.009572, 1.026416
-0.009573, 1.072607
-0.009575, 0.957129
